base_norm,descriptive_norm,situation,intention,moral_action,moral_consequence,immoral_action,immoral_consequence
الأمانة,عن عبدِ اللهِ بنِ عَبَّاسٍ رَضِيَ اللهُ عنهما قال: (أخبرني أبو سفيانَ أنَّ هِرَقْلَ قال له: سألتُك ماذا يأمُرُكم -يعني النَّبيَّ صلَّى اللهُ عليه وسلَّم- فزعَمْتَ أنَّه أمَركم بالصَّلاةِ والصِّدقِ والعَفافِ، والوَفاءِ بالعَهدِ وأداءِ الأمانةِ. قال: وهذه صِفةُ نبيٍّ ),في سوقِ مدينةِ القيروان كان الصبيُّ عبدُ الرحمن يساعد أباه العطّار، وبين الضجيج وجد صُرّةَ دنانير سقطت من زائرٍ غريبٍ متعجِّل.,أراد عبدُ الرحمن أن يَبلُغَ صاحبَ الصُّرّة قبل أن يبتعد، ليحفظ مالَه من الضياع ويصونَ سمعةَ دكّان أبيه بين التجّار.,سأل عبدُ الرحمن أهلَ السوق عن الغريب ووصفَ ثوبَه، ثم قصدَ شيخَ الحسبة وشهد عنده بما وجد، حتى عُرِفَ الرجل وسُلِّمت الصُّرّة كاملة.,انتشر خبرُ صنيعِه بين الجيران، فأقبلوا يشترون من دكّان أبيه مطمئنين، ودعا له الرجلُ الغريب بخيرٍ، فازداد عبدُ الرحمن ثباتًا على خُلُقِه.,خبّأ عبدُ الرحمن الصُّرّة في كمِّه، وتظاهر بالجهل حين سأل الناس عنها، ثم أنفق بعضَها في حلوى ولهوٍ، مُقدِّمًا شهوته على حقِّ صاحبها.,اضطرب السوق حين شاع فقدُ المال، واتُّهِم دكّان أبيه بالريبة، فقلَّت ثقةُ الزبائن وتغيّر وجهُ الأب حزنًا، وبقي عبدُ الرحمن خائفًا من انكشاف أمرِه.
الفصاحة,كأنَّ كلامَ النَّاسِ جمعٌ حَولَه فأطلَق في إحسانِه يتخَيَّرُ,في مكتبةِ الجامعِ العتيقِ ببغداد، كان الصبيُّ حسّانُ يعشقُ الحكاياتِ، ويستمعُ لحديثِ الشيخِ سليمٍ مع الزائرين في رِفقٍ وبيانٍ.,أراد حسّانُ أن يقرأَ قصةً قصيرةً أمامَ أقرانِه بعد صلاةِ العصر، ليَفهموا معناها ويأنسوا بها، ويُحسنوا مجالسَهم بالكلامِ الجميل.,تهيّأ حسّانُ فانتقى ألفاظًا لطيفةً، وتدرّب على مخارجِ الحروف، ثم وقفَ مؤدّبًا فسلّم، وقرأَ بتمهّلٍ، واجتنبَ الغريبَ من الكلامِ رحمةً بفهمِ السامعين.,أُعجب الصبيانُ بوضوحِه وحسنِ اختياره، فهدأت أصواتُهم، وأقبلوا على الكتاب، وصار كلٌّ منهم يُراعي الأدبَ في خطابه لرفاقِه والشيخِ.,عجِل حسّانُ فصعدَ دونَ استعدادٍ، فرفعَ صوته بالهذرِ، وأقحمَ ألفاظًا جارحةً يتندّرُ بها، وقاطعَ من سأله عن معنى جملةٍ أو لفظةٍ.,تكدّرت نفوسُ الحاضرين، وانصرف بعضُ الصبيانِ عن المجلسِ، وعاتبه الشيخُ سليمٌ بلطفٍ، فضعفت ثقةُ رفاقِه بكلامِه وقلَّت رغبتُهم في الاستماع.
المزاح,أفِدْ طَبْعَك المكدودَ بالهَمِّ راحةً قليلًا وعَلِّلْه بشَيءٍ من المَزْحِ ولكِنْ إذا أعطَيْتَه المَزْحَ فلْيَكُنْ بمقدارِ ما يُعطى الطَّعامُ مِن المِلْحِ,في مكتبةِ المدرسةِ كان حمزةُ يُراجِعُ مع زملائِه درسَ النحوِ استعدادًا للمسابقة، وقد ثَقُلَت الوجوهُ لطولِ المذاكرةِ وهدأَت الهممُ.,أرادَ حمزةُ أن يُنعِشَ قلوبَ رفاقِه ويُعيدَ إليهم نشاطَ الطلب، ليواصلوا المراجعةَ بتركيزٍ حتى يحفظوا الشواهدَ ويُحسنوا الإعرابَ قبلَ الموعدِ.,قال حمزةُ طرفةً مهذَّبةً تتعلّقُ بحركةِ الإعرابِ دونَ سخريةٍ من أحدٍ، ثم عادَ يُقسِّمُ الدرسَ عليهم برفقٍ ويُشجِّعُ المتعبَ بكلمةٍ طيِّبةٍ.,ابتسمَ الزملاءُ واعتدلَت نفوسُهم، فصفَت أذهانُهم وتعاونوا على تصحيحِ الأخطاءِ، حتى سمعَهم أمينُ المكتبةِ فدعا لهم وأثنى على أدبِهم.,أطلقَ حمزةُ مزاحًا فظًّا يَغمِزُ به زميلًا أخطأَ في الإعرابِ، وكرّرَ الضحكُ عليه ليُظهرَ نفسَه حاضرَ البديهةِ ويُخفي تَعَبَ الفريقِ.,احمرَّ وجهُ الزميلِ وسكَتَ، وتفرّقَت القلوبُ بعدَ الألفةِ، فضعُفَت المشاركةُ واضطربَت المراجعةُ، وشكا بعضُهم للمعلّمِ فنبَّههم إلى حرمةِ الأذى.
الإيثار,عن عبدِ الرَّحمنِ بنِ أبي بكرٍ رَضِيَ اللهُ عنه أنَّ أصحابَ الصُّفَّةِ كانوا أناسًا فُقَراءَ، وأنَّ النَّبيَّ صلَّى اللهُ عليه وسلَّم قال: ((مَن كان عندَه طعامُ اثنين فليذهَبْ بثالِثٍ، وإنْ أربَعٌ فخامِسٌ أو سادِسٌ)),في حارةٍ قديمةٍ من دمشقَ، كان ياسرٌ صبيًّا مهذّبًا يعيش مع أمّه، وفي المساءِ يمرّ به جارٌ فقيرٌ يطلب لقمةً لعياله.,أراد ياسرٌ أن يُبقي شيئًا من العشاء لأخيه الصغير، ومع ذلك ابتغى أن يكرم جارَه دون أن يُحرج أمَّه أو يُضيّع حقَّ البيت.,جمع ياسرُ ما تيسّر من خبزٍ وزيتونٍ، ثم استأذن أمَّه بلطفٍ وأرسل لجارِه صحنًا صغيرًا، وقسم الباقي على أهلِه بالعدل.,شكر الجارُّ ودعا لياسرٍ وأمِّه، وذاع في الحارة خبرُ سخائهما، فتسابق الجيران إلى التآزر، وخفّت عن الأسرة ضيقةُ الأيام.,أخفى ياسرُ الطعامَ في غرفته، وتذرّع بالعذر حين طرق الجارُّ بابَهم، ثم أكل وحده، وترك لأخيه فتاتًا لا يُسمن ولا يُغني.,حزن الجارُّ وانصرف كسيرًا، وسمع الجيران بخبر جفائه، ففترت المودّة بينهم، وصار أهل الحارة أقلَّ تعاونًا عند الشدائد والحوائج.
التضحية,أقام على عَهدِ النَّبيِّ وهَدْيِه حواريُّه  والقَولُ بالفِعلِ يُعدَلُ أقام على منهاجِه وطريقِه يُوالي وليَّ الحقِّ والحقُّ أعدَلُ هو الفارِسُ المشهورُ والبَطَلُ الذي يصولُ، إذا ما كان يومٌ مُحَجَّلُ إذا كشَفَتْ عن ساقِها الحَربُ حَشَّها بأبيضَ سَبَّاقٍ إلى الموتِ يُــرْقِـلُ وإنَّ امرأً كانت صفيَّةُ أُمَّه ومِن أَسَدٍ في بيتِها لمرَفَّلُ له مِن رسولِ اللهِ قُربى قريبةٌ ومن نُصرةِ الإسلامِ مجدٌ مُؤَثَّلُ فكم كُربةٍ ذبَّ الزُّبيرُ بسيفِه عن المُصطفى، واللهُ يُعطي فيُجزِلُ فما مِثلُه فيهم، ولا كان قبلَه وليس يكونُ الدَّهرَ ما دام يَذْبُلُ ثناؤُك خيرٌ مِن فِعالِ معاشرٍ وفِعلُك يا ابنَ الهاشميَّةِ أفضَلُ,في مدرسةٍ عتيقةٍ عند أطرافِ المدينة، كان سليمٌ يتهيّأ لمعرضِ العلوم، ورأى زميلَه عمرًا حائرًا لأن أدواتِه انكسرت قبيلَ يومِ العرضِ.,أراد سليمٌ أن ينجحَ فريقُ الصفِّ في المعرضِ، وأن يعينَ عمرًا ليُتمَّ تجربتَه في وقتٍ ضيّقٍ دون أن يحرجه أمامَ المعلّمِ والرفاقِ.,جمع سليمٌ ما ادّخره لشراءِ كتابٍ جديد، ثم اشترى لعمرٍ أنابيبَ وزجاجًا بدلَ المكسور، وشاركه العملَ بصبرٍ وإخلاصٍ ابتغاءَ وجهِ الخيرِ.,سرت روحُ التراحمِ بين التلاميذ، فصاروا يتعاونون في إعدادِ المشاريع، وازدادت ثقةُ المعلّمِ بسليمٍ، وشكر عمرٌ صنيعَه فدامت بينهما صحبةٌ طيّبةٌ.,أخفى سليمٌ أدواتِه السليمة عن عمرٍ، واعتذر بتعلّلاتٍ واهية، ثم انشغل بتزيينِ لوحتِه وحده طمعًا في المدحِ دون نظرٍ لحاجةِ زميلِه.,وقع في الصفِّ نفورٌ وتلاومٌ حين تعثّر مشروعُ عمرٍ، وقلّ احترامُ التلاميذ لسليمٍ، وأصبح المعلّمُ يراقب سلوكَه ويقلّل الاعتمادَ عليه في أعمالِ الجماعةِ.
الإصلاح,ولكنَّ ليلَ المُسلِمينَ سينجلي ونُمسي كما كنَّا لنا الفوزُ والسَّبقُ ولسنا على يأسٍ نعيشُ وإنَّما على ثِقةٍ أنْ سوف ينتصِرُ الحقُّ وإن فشِلَت كُلُّ الوسائِلِ في الذي نرومُ مِن الإصلاحِ لن يفشَلَ الصِّدقُ,في مدرسةٍ عتيقةٍ بأطرافِ المدينة، تنازعَ الفتيانُ عبدُ الرحمنِ وياسرٌ على كتابٍ مُعارٍ، فاحتدّت الألسنةُ بينهما، وكانت هناءُ تشهدُ الحزنَ في الفصلِ صامتةً.,أرادتْ هناءُ أن تُطفئَ نارَ الخصومةِ بين عبدِ الرحمنِ وياسرٍ، ليعودَ الصفُّ مطمئنًّا، ويستقيمَ التعاونُ في حلِّ الواجباتِ قبلَ موعدِ الامتحانِ القريبِ.,اقتربتْ هناءُ منهما برفقٍ، فسمعتْ حجّتَيهما دونَ ميلٍ، ثم اقترحتْ قسمةَ وقتِ الكتابِ، وذكّرتهما بحقِّ الأخوّةِ وحُسنِ الظنِّ.,لانَ قلبا عبدِ الرحمنِ وياسرٍ، واعتذرا وتصافحا، فعمَّ السكونُ الجميلُ في الفصلِ، وأقبلَ التلاميذُ على الدرسِ، وشكرَتِ المعلّمةُ هناءَ على سعيِها.,تدخلتْ هناءُ بحدّةٍ، فزادَتْ الأمرَ اضطرابًا، وأشاعتْ بينَ الطالباتِ أنّ ياسرًا سارقٌ، وأمالتْ عبدَ الرحمنِ بكلماتٍ جارحةٍ تُثيرُ الكِبرَ والانتقامَ.,اشتدَّ الشقاقُ في الصفِّ، وتفرّقَ الأصدقاءُ شيعًا، وغضبتِ المعلّمةُ من كثرةِ الوشاياتِ، ففُقِدَتِ الثقةُ بهناءَ، وبقيَتِ النفوسُ مُثقلةً بالريبةِ والخصامِ.
المزاح,عن أنَسِ بنِ مالكٍ رَضِيَ اللهُ عنه، قال: ((كان النَّبيُّ صلَّى اللهُ عليه وسلَّم أحسَنَ النَّاسِ خُلُقًا، وكان لي أخٌ يُقالُ له أبو عُمَيرٍ -قال: أحسَبُه- فطيمٌ، وكان إذا جاء قال: يا أبا عُمَيرٍ، ما فَعَل النُّغَيرُ؟ نُغَرٌ كان يَلعَبُ به)),في فناءِ مدرسةٍ صغيرةٍ بدمشقَ، جلسَ ياسرٌ بجوارِ ابنِ عمِّه سليمٍ الحزينِ بعد ضياعِ عصفورِه، والطلابُ من حولِهما يتهامسونَ متعجِّبين.,أرادَ ياسرٌ أن يُخفِّفَ عن سليمٍ غمَّه، ويعيدَ إلى قلبِه الطمأنينةَ، ليعودَ إلى الدرسِ نشيطًا ويُشارِكُ أصحابَه دونَ انكسارٍ.,اقتربَ ياسرٌ برفقٍ وقالَ مبتسمًا: لعلَّ عصفورَكَ ذهبَ يزورُ أصدقاءَه، ثم عرضَ أن يبحثا معًا ويستأذنا المعلِّمَ بلطفٍ.,لانَ قلبُ سليمٍ وابتسمَ، واجتمعَ زملاؤهما على البحثِ بجدٍّ، فخفَّت وحشةُ الفقدِ، وعادَ الصفُّ إلى المودَّةِ والنظامِ دونَ سخريةٍ.,لمَّا رأى ياسرٌ دموعَ سليمٍ، أطلقَ نكتةً جارحةً عن ضعفِه، وقلَّدَ صوتَ العصفورِ متهكِّمًا أمامَ الطلابِ ليبدوَ هو أظرفَهم.,احمرَّ وجهُ سليمٍ وانزوى، وارتفعت ضحكاتٌ قاسيةٌ بينَ الصبيانِ، فانتشرَ الجفاءُ وتفرَّقَت القلوبُ، وصارَ الحزنُ أشدَّ من ضياعِ العصفورِ.
الاحترام والتوقير,قومٌ سجاياهم توقيرُ ضَيفِهِم والشَّيبُ ضَيفٌ له التَّوقيرُ يا صاحِ,في مدرسةٍ عتيقةٍ عند أطرافِ الواحة، كان سليمٌ يتدرّب على الإلقاء في الساحة، ورأى الشيخَ عبدَ الرحمن يدخلُ متكئًا على عصاه بين التلاميذ.,أراد سليمٌ أن ينجح في مسابقة الإلقاءِ أمام المعلّم، وأن يبدأ حديثه بثباتٍ وطمأنينةٍ دون اضطرابٍ يقطعه ازدحامُ الساحة وصخبُ الصبيان.,تقدّم سليمٌ إلى الشيخ عبد الرحمن، فسلّم عليه بأدبٍ وأخذ بيده، ثم دعا التلاميذ إلى إفساح الطريق، وأجلسه في ظلّ الجدار قبل البدء.,هدأ الصبيان حين رأوا صنيعَ سليم، فانتظم المجلسُ واحمرّت وجوهُ بعضهم حياءً، ودعا له الشيخُ بخيرٍ فازدادت محبّتُه في قلوب زملائه.,تعمّد سليمٌ أن يتقدّم إلى منصة الإلقاءِ متجاهلًا الشيخ، ورفع صوته على الصبيان ليزاحمهم، وترك العجوز واقفًا بين الزحام يتأذّى.,تفرّق النظامُ وعلت الهمهمةُ في الساحة، ونظر المعلّم إلى سليمٍ بعَتَبٍ شديد، وشعر الشيخُ بمرارةٍ فبردت المودةُ بينه وبين التلاميذ.
العفة,تفنى اللَّذاذةُ ممَّن نال صَفوتَها من الحرامِ، ويبقى الإثمُ والعارُ تبقى عواقِبُ سُوءٍ من مَغبَّتِها لا خيرَ في لذَّةٍ من بَعدِها النَّارُ,في سوقِ المدينةِ القديمِ، كان ياسرٌ غلامًا يعينُ أباه في دكّانِ العِطر، ويجاوره تاجرٌ ماكرٌ يلوّحُ له بمالٍ سريعٍ ورِبحٍ خفيّ.,أراد ياسرٌ أن يجمعَ نفقةَ كُتُبِه قبلَ بدءِ الدرس، وأن يرفعَ عن أبيه ثِقلَ الحاجةِ دونَ أن يُدنِّسَ اسمَ البيتِ أو يفضحَه.,لما عُرِضت عليه صفقةٌ مُريبةٌ تُخفى فيها عيوبُ البضاعة، اعتذرَ ياسرٌ بأدبٍ وأخبرَ أباه، ثم اختارَ كسبًا حلالًا من خدمةِ الزبائنِ بإحسانٍ.,شاعَ بينَ أهلِ السوقِ صدقُ ياسرٍ، فوثقوا بدكّانِ أبيه وزادَ رُوّادُه، وصارَ الصِّبيانُ يقتدونَ به في حفظِ الأمانةِ وصونِ النفسِ.,ضعفَ ياسرٌ ساعةً فقبلَ المالَ السريعَ، وأخفى عيبَ القارورةِ وباعها كأنها سليمةٌ، ثم كتمَ الخبرَ عن أبيه خشيةَ العتابِ واللومِ.,لمّا انكشفَ الغِشُّ، غضبَ الزبونُ ورفعَ أمرَه إلى أهلِ السوقِ، فتراجعَ الناسُ عن شراءِ العِطر، وسقطَت ثقتُهم بأسرةِ ياسرٍ وساءت صحبتُه.
العزم، والعزيمة، وعلو الهمة,يا ليتَ شِعْري والمُنى لا تنفَعُ هل أغدُوَنْ يومًا وأمري مُجمَعُ,في مكتبة المدرسة القديمة جلسَتْ فاطمةُ بين الرفوف، وقد اقترب موعدُ مسابقةِ القراءة، والصفُّ ينتظر منها أن تمثّلهم بكتابٍ تختاره بعناية.,أرادت فاطمةُ أن تحسم أمرَها وتُتِمَّ قراءةَ كتابٍ نافعٍ قبل المسابقة، لتُحسن العرضَ وتُفرِح معلّمتَها وزميلاتِها بثمرةِ اجتهادها.,استعانت فاطمةُ بالله، ثم رتّبت وقتَها بعد الصلاة، فقرأت كلَّ يومٍ صفحاتٍ محدَّدة، ودوّنت فوائدَها، حتى أتمّت الكتابَ بعزمٍ ثابت.,حين رأت زميلاتُها جِدَّها اقتدين بها، فهدأ لغطُ الصفّ وكثرَت المذاكرةُ النافعة، وأثنت المعلّمة عليها فازدادت روحُ التعاون والمحبة بينهن.,أهملت فاطمةُ تنظيمَ وقتها، وأخذت تُسوّف وتسترسل في اللهو، ثم ادّعت أمام زميلاتِها أنّها أتمّت القراءة، اعتمادًا على حفظِ عناوينَ بلا فهم.,عند العرض تعثّرت فاطمةُ وظهر نقصُها، ففترت همّةُ بعضِ زميلاتِها وقلَّ احترامُهنّ لقولها، واضطرب جوُّ الصفّ حتى نَبَّهتْهُنَّ المعلّمة.
الفطنة والذكاء,شَهمُ الفؤادِ ذكاؤه ما مِثلُه عندَ العزيمةِ في الأنامِ ذَكاءُ,في مكتبةِ المدرسةِ العتيقةِ كانَ يوسفُ تلميذًا مُحبًّا للقراءة، وقد تفرّقَت بطاقاتُ الإعارةِ فاختلطت أسماؤها، واشتدّ قلقُ أمينِ المكتبةِ الشيخِ محمود.,أرادَ يوسفُ أن يُعيدَ النظامَ إلى بطاقاتِ الإعارةِ قبلَ قدومِ الطلابِ، ليحفظَ حقَّ كلِّ مستعيرٍ ويُعينَ الشيخَ محمودًا على أداءِ الأمانةِ في هدوء.,جمعَ يوسفُ البطاقاتِ في سلالٍ صغيرةٍ، ثم قارنَ الأسماءَ بالتواريخِ وسجلاتِ الرفوفِ، وسألَ الشيخَ محمودًا برفقٍ عن الرموزِ القديمةِ حتى اهتدى إلى الترتيبِ الصحيح.,اطمأنَّ الشيخُ محمودٌ وشكرَ يوسفَ أمامَ الطلابِ، فعادَ لكلِّ طالبٍ كتابُه دونَ خصومةٍ، وانتشرَ في المكتبةِ جوٌّ من الثقةِ والتعاونِ واحترامِ الحقوقِ.,ضاقَ يوسفُ بالوقتِ فتناولَ البطاقاتِ على عَجَلٍ، ورصَّها بلا مراجعةٍ، ثم أخفى ما التبسَ عليه كي لا يُسأل، وادّعى أنّ العملَ قد اكتملَ بلا نقص.,تسلّمَ بعضُ الطلابِ كتبًا ليست لهم ووقعَت مشاحنةٌ عندَ الرفوفِ، وارتبكَ الشيخُ محمودٌ وانكسرتِ الثقةُ بترتيبِ المكتبةِ، وصارَ الجميعُ يتوجّسُ من ضياعِ الأمانات.
النظافة,"""وَثِيَابَكَ فَطَهِّرْ"" [المدثر: 4]",في منزلٍ واسع مليء بالألعاب الحركية تعيش الطفلة بسمة مع والديها.,تسعى والدة بسمة إلى أن تزرع في ابنتها حُب النظافة.,كُلَ يوم بعد اللعب في الحديقة، تغسل بسمة وجهها ويديها، وتبدّل ثيابها المتسخة بأخرى نظيفة.,سَعِدت الأم بحرص ابنتها على النظافة، وبدت بسمة ابنةٌ نظيفةٌ وأنيقةٌ.,كُلَ يوم بعد اللعب في الحديقة، تبقى بسمة بثيابها المتسخة، ولا تهتم بنظافتها، ولا نظافة ملابسِها.,حَزِنت الأم على إهمال ابنتها لنظافتها، وبدت بسمة ابنةٌ غير نظيفة.
الشجاعة,وَقَاتِلُوا فِي سَبِيلِ اللَّهِ الَّذِينَ يُقَاتِلُونَكُمْ وَلَا تَعْتَدُوا إِنَّ اللَّهَ لَا يُحِبُّ الْمُعْتَدِينَ [البقرة: 190],كان سليمٌ فتىً من أهل الواحة، يحرس قافلةَ التمر مع عمّه زيد، وقد شاع خوفٌ من لصوصٍ يترصّدون المسافرين عند الغروب.,أراد سليمٌ أن يصون القافلةَ وأهلَها من أذى المعتدين، وأن يضمن وصول الرزق إلى السوق بسلامٍ دون ترويعٍ أو ظلمٍ لأحد.,لما ظهرت عصابةٌ عند المضيق، تقدّم سليمٌ بثباتٍ، ونادى الناسَ إلى التماسك، ودفع المعتدين بحزمٍ، مكتفيًا بصدّهم وتسليم أسيرهم للعمدة.,اطمأنّ التجارُ والمسافرون، وازدادت ثقتهم بسليم، وعمّ بين أهل الواحة تعاونٌ وحراسةٌ منظّمة، حتى قلّت السرقاتُ وصار الطريقُ آمِنًا.,لما ظهرت العصابةُ عند المضيق، اندفع سليمٌ في غضبه، فضرب الهاربين وطارد الضعفاء، واتّهم بعضَ الغرباء بغير بيّنةٍ ليُظهر شجاعتَه.,تفرّق الناسُ خوفًا من بطشه، واشتدّت الخصومات بين أهل الواحة والغرباء، وضاعت هيبةُ العدل، فصار الطريقُ مضطربًا وكثرت الشكاوى والعداوات.
حفظ اللسان,عن أبي هُرَيرةَ رَضِيَ اللَّهُ عنه قال: ((قال رسولُ اللَّهِ صلَّى اللهُ عليه وسلَّم: مَن كان يُؤمِنُ باللَّهِ واليومِ الآخِرِ فلْيَقُلْ خيرًا أو ليَصمُتْ)),في مدرسةٍ قديمةٍ بدمشق، كان أحمدُ تلميذًا مجتهدًا يجالس زميلَه خالدًا في ساحة النخيل، وتدور بين الطلاب أحاديثٌ كثيرةٌ عن نتائج الامتحان.,أراد أحمدُ أن يحفظ مودّتَه بين زملائه، وأن يثبت لهم حُسن خُلقه، ليظلّ مجلسُه مأمونًا وتبقى كلمتُه سببًا للألفة لا للخصام.,لمّا سمع أحمدُ بعضَ الطلاب يذكرون خالدًا بسوءٍ بسبب عثرةٍ في الإجابة، ردّهم بلطفٍ وذكر محاسنَه، ثم آثر الصمت عمّا لا ينفع.,هدأت الساحة، وشعر خالدٌ بكرامةٍ مصونة، وتحوّل كلامُ الطلاب إلى تعاونٍ ونصحٍ رفيق، فزاد الاحترامُ لأحمدٍ وانتشرت روحُ الإخاء بينهم.,لمّا سمع أحمدُ ذكرَ خالدٍ بسوءٍ، شاركهم السخريةَ طمعًا في قبولهم، وزاد في الحكاية مبالغةً، ثم نشرها بين الصفوف حتى اشتهرت سريعًا.,توترت العلاقاتُ في الصف، واعتزل خالدٌ أصدقاءه خجلًا، ووقع الشقاقُ بين المجموعات، ولام المعلّم أحمدَ ففقد ثقةَ زملائه وتفرّق مجلسُه.
العدل والإنصاف,لَقَدْ أَرْسَلْنَا رُسُلَنَا بِالْبَيِّنَاتِ وَأَنْزَلْنَا مَعَهُمُ الْكِتَابَ وَالْمِيزَانَ لِيَقُومَ النَّاسُ بِالْقِسْطِ [الحديد: 25],في مكتبةِ المدرسةِ العتيقةِ جلسَ أمينُها ياسرُ يُنظِّمُ كُتُبَ الوقفِ، ودخلَ طُلّابٌ صِغارٌ يتسابقونَ إلى استعارةِ قصةٍ واحدةٍ نادرةٍ.,أرادَ ياسرُ أن يُرضيَ التلاميذَ جميعًا، وأن يُسلِّمَ الكتابَ لمن يستحقُّهُ اليومَ دونَ خصومةٍ أو انكسارِ خاطرٍ بينَ الزملاءِ.,جمعَ ياسرُ الأسماءَ في ورقةٍ واحدةٍ، وسألَ كلَّ طالبٍ عن حاجتِه للكتابِ، ثم رتَّبَ الدورَ بالقرعةِ العلنيةِ معَ موعدِ إرجاعٍ واضحٍ.,رضيَ التلاميذُ بحُكمِه، وتعلَّموا حُسنَ التناوبِ وحفظَ الأمانةِ، فهدأتِ المكتبةُ وصاروا يثنونَ على أمانتِه عندَ المُعلّمينَ.,مالَ ياسرُ إلى ابنِ التاجرِ الغنيِّ، فسلَّمهُ الكتابَ خفيةً قبلَ الدورِ، وتجاهلَ شكايةَ الآخرينِ مدّعيًا أنَّ الأمرَ انتهى ولا مَجالَ للكلامِ.,غضبَ التلاميذُ وتنازعوا، وضعفَ احترامُهم لنظامِ المكتبةِ، فكثرَ التهرّبُ من إعادةِ الكتبِ، وارتفعتِ الشكوى إلى المديرِ وتصدّعتِ الثقةُ.
الصبر,فما شَدَّةٌ يومًا، وإنَّ جَلَّ خَطبُها بنازِلةٍ إلَّا سَيتبَعُها يُسرُ وإن عَسُرَت يومًا على المَرءِ حاجةٌ وضاقَت عليه كان مِفتاحَها الصَّبرُ,في حيٍّ قديمٍ من دمشق، كان ياسرُ تلميذًا مجتهدًا يرافق أباه إلى دكّان الورّاقين، ويُحبّ رائحةَ الكتبِ وأحاديثَ أهلِ العلمِ حوله.,أراد ياسرُ أن يشتري كُرّاسًا جديدًا لنسخ الدروس، ليحفظ علمَه ويُرضي أستاذه، وهو يعلم أنّ النقودَ عنده قليلةٌ لا تكفي.,دخل ياسرُ الدكّانَ وسأل بأدبٍ عن السعر، ثم انتظر دوره صابرًا على زحام المشترين، وعاد يُعين أباه حتى جمع ما ينقصه دون ضيقٍ أو شكوى.,لمّا رآه الورّاقُ ثابتًا حسنَ الخُلُق، خفّض له الثمنَ وأثنى عليه أمام الناس، فازداد ودُّ الجيران له، وسرت الطمأنينةُ في البيت.,ضاق ياسرُ بالانتظار، فرفع صوته على الورّاق، وتذمّر من قلّة المال، ثم حاول أن يأخذ كُرّاسًا خفيةً ظانًّا أنّ حاجتَه تُسوِّغ تعجّله.,فطن أهلُ الدكّان لفعلِه فوبّخوه، وساء ظنُّ الجيران به، واشتدّ حزنُ أبيه، فصار ياسرُ موضعَ ريبةٍ بعد أن كان محبوبًا.
الأمانة,أحسِنْ أمانتَك التي قُلِّدْتَها طوقَ الحمامةِ ما تُسِرُّ وما ظَهَرْ لقد اتَّجَرْتَ على الذين تَؤُمُّهم فاختَرْ على الخُسرانِ رِبحَ المتَّجَرْ قد قلَّدوك أمانةً مضمونةً فاحذَرْ ضَمانَ مُضَيِّعٍ كُلَّ الحَذَرْ واعرِفْ لهاتِيكَ الأمانةِ قَدْرَها ليس الضَّمانُ بها ضَمانًا يُغتَفَرْ,في سوقِ المدينةِ العتيقةِ كان حمزةُ غلامًا خَدومًا يساعدُ أباه التاجرَ، ويُعرَف بين الجيرانِ برزانةِ خُلُقِه وحسنِ صمته في الزحام.,أودعَ التاجرُ سليمانُ عند حمزةَ صُرَّةَ دنانيرَ لليتيمِ عُميرٍ حتى يعودَ من سفرٍ قريب، فهَمَّ حمزةُ بصونِ المالِ وإيصاله.,أخفى حمزةُ الصُّرَّةَ في صندوقٍ مُحكَمٍ، وكتبَ عليها علامةً يعرفها، ثم راجعَ أباه وشهِدَ جارَين على عددها صونًا للحقوق.,لما رجع سليمانُ وجدَ المالَ كاملًا، فانتشرَ ذكرُ أمانةِ حمزةَ في السوق، وأقبلَ الناسُ يستودعونه، فازدادت الثقةُ وتآلفت القلوب.,سوَّلَتْ له نفسُه أن يفتحَ الصُّرَّةَ خفيةً، فأخذَ منها دنانيرَ ليشتري ثوبًا جديدًا، ثم أعادها مدَّعيًا السلامةَ والتمام.,لمّا عُدَّت الدنانيرُ ظهرتِ النقيصةُ، فساء ظنُّ الناسِ بحمزةَ وتفرّقوا عنه، واضطربَ متجرُ أبيه، وخيَّمَ الشكُّ بين الجيران.
